Registered Date,Property Type,Lender
12/15/2014,Single Family,Bank of America
1/31/2014,Single Family,LPP Mortgage LTD. c/o Dovenmuehle
2/4/2014,Single Family,Capital One
12/2/2014,Multi-Family,JP Morgan Chase C/O Select Portfolio Servicing
7/9/2014,Single Family,Wells Fargo Bank N.A.
6/27/2014,Single Family,Wells Fargo Bank N.A.
7/11/2014,Single Family,Federal National Mortgage Association
11/14/2014,Single Family,MUFG Union Bank  N.A.
1/3/2014,Single Family,Financial Freedom
6/9/2014,Single Family,Wells Fargo Bank N.A.
11/3/2014,Single Family,Capital One
1/31/2014,Single Family,Astoria Federal Savings & Loan Association c/o Dovenmuehle
1/16/2014,Single Family,JP Morgan Chase NA
3/19/2014,Multi-Family,Ocwen Loan Servicing
1/21/2014,Single Family,ONE WEST BANK
11/7/2014,Multi-Family,Nationstar Mortgage LLC
2/17/2014,Single Family,Ocwen Loan Servicing  LLC
3/17/2014,Single Family,JP Morgan Chase NA
1/3/2014,Multi-Family,NATIONSTAR MORTGAGE
1/10/2014,Single Family,JP Morgan Chase
1/9/2014,Multi-Family,Midfirst Bank
10/8/2014,Single Family,Nationstar Mortgage LLC
12/8/2014,Single Family,Rushmore Loan Management Services
3/14/2014,Multi-Family,Ocwen Loan Servicing
1/17/2014,Single Family,Specialized Loan Servicing as Servicing Agent for Beneficiary
1/17/2014,Single Family,Nationstar Mortgage LLC
5/27/2014,Single Family,NATIONSTAR MORTGAGE LLC
2/3/2014,Single Family,Wells Fargo Bank N.A.
5/8/2014,Single Family,JP Morgan Chase NA
12/9/2014,Multi-Family,NationStar
3/14/2014,Single Family,Ocwen Loan Servicing
1/3/2014,Single Family,Financial Freedom
11/17/2014,Single Family,Bank of America
3/26/2014,Single Family,JP Morgan Chase NA
6/9/2014,Single Family,Wells Fargo Bank N.A.
3/13/2014,Single Family,Financial Freedom
12/23/2014,Single Family,Ocwen Loan Servicing  LLC
8/22/2014,Multi-Family,Penny Mac Loan Service
5/28/2014,Single Family,Bank of America
2/13/2014,Multi-Family,Ocwen Loan Servicing  LLC
10/27/2014,Single Family,Wilmington Trust  NA  successor trustee toc/o Select Portfolio Servicing
7/28/2014,Multi-Family,DOWNEY SAVINGS & LOAN
8/8/2014,Single Family,Suntrust
